timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1715774206933,1290,HTTP Request 472,200,,Thread Group 1-472,text,true,,315,324,1000,1000,http://localhost:8080/customer/add,1290,0,1
1715774206633,1602,HTTP Request 97,200,,Thread Group 1-98,text,true,,311,320,1000,1000,http://localhost:8080/customer/add,1592,0,73
1715774206643,1594,HTTP Request 183,200,,Thread Group 1-183,text,true,,315,324,1000,1000,http://localhost:8080/customer/add,1594,0,58
1715774206633,1605,HTTP Request 154,200,,Thread Group 1-155,text,true,,315,324,1000,1000,http://localhost:8080/customer/add,1604,0,70
1715774206636,1613,HTTP Request 96,200,,Thread Group 1-96,text,true,,311,320,1000,1000,http://localhost:8080/customer/add,1609,0,65
1715774206636,1614,HTTP Request 28,200,,Thread Group 1-27,text,true,,311,320,1000,1000,http://localhost:8080/customer/add,1613,0,67
1715774207315,935,HTTP Request 856,200,,Thread Group 1-856,text,true,,315,324,1000,1000,http://localhost:8080/customer/add,933,0,1
1715774206692,1558,HTTP Request 231,200,,Thread Group 1-231,text,true,,315,324,1000,1000,http://localhost:8080/customer/add,1558,0,10
1715774206897,1353,HTTP Request 438,200,,Thread Group 1-438,text,true,,315,324,1000,1000,http://localhost:8080/customer/add,1352,0,1
1715774206668,1582,HTTP Request 207,200,,Thread Group 1-208,text,true,,315,324,1000,1000,http://localhost:8080/customer/add,1582,0,34
1715774206641,1618,HTTP Request 181,200,,Thread Group 1-181,text,true,,315,324,1000,1000,http://localhost:8080/customer/add,1615,0,61
1715774206665,1599,HTTP Request 203,200,,Thread Group 1-203,text,true,,315,324,1000,1000,http://localhost:8080/customer/add,1598,0,36
1715774206858,1406,HTTP Request 396,200,,Thread Group 1-395,text,true,,315,324,1000,1000,http://localhost:8080/customer/add,1402,0,0
1715774206882,1384,HTTP Request 421,200,,Thread Group 1-421,text,true,,315,324,1000,1000,http://localhost:8080/customer/add,1383,0,1
1715774206632,1639,HTTP Request 61,200,,Thread Group 1-62,text,true,,311,320,1000,1000,http://localhost:8080/customer/add,1639,0,71
1715774206890,1382,HTTP Request 430,200,,Thread Group 1-430,text,true,,315,324,1000,1000,http://localhost:8080/customer/add,1381,0,1
1715774206636,1637,HTTP Request 128,200,,Thread Group 1-128,text,true,,315,324,1000,1000,http://localhost:8080/customer/add,1636,0,69
1715774206644,1631,HTTP Request 185,200,,Thread Group 1-185,text,true,,315,324,1000,1000,http://localhost:8080/customer/add,1630,0,59
1715774206858,1419,HTTP Request 397,200,,Thread Group 1-398,text,true,,315,324,1000,1000,http://localhost:8080/customer/add,1417,0,0
1715774206899,1381,HTTP Request 439,200,,Thread Group 1-439,text,true,,315,324,1000,1000,http://localhost:8080/customer/add,1375,0,0
1715774206633,1651,HTTP Request 172,200,,Thread Group 1-172,text,true,,315,324,1000,1000,http://localhost:8080/customer/add,1651,0,67
1715774206632,1653,HTTP Request 74,200,,Thread Group 1-73,text,true,,311,320,1000,1000,http://localhost:8080/customer/add,1652,0,72
