timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1715687192924,399,HTTP Request 24,200,,Thread Group 1-24,text,true,,311,320,620,620,http://localhost:8080/customer/add,399,0,96
1715687192925,398,HTTP Request 167,200,,Thread Group 1-166,text,true,,315,324,620,620,http://localhost:8080/customer/add,380,0,95
1715687193109,214,HTTP Request 406,200,,Thread Group 1-405,text,true,,315,324,620,620,http://localhost:8080/customer/add,196,0,1
1715687192991,330,HTTP Request 288,200,,Thread Group 1-289,text,true,,315,324,629,629,http://localhost:8080/customer/add,322,0,29
1715687192937,384,HTTP Request 236,200,,Thread Group 1-236,text,true,,315,324,629,629,http://localhost:8080/customer/add,368,0,83
1715687192924,412,HTTP Request 65,200,,Thread Group 1-64,text,true,,311,320,635,635,http://localhost:8080/customer/add,412,0,95
1715687192957,380,HTTP Request 254,200,,Thread Group 1-255,text,true,,315,324,635,635,http://localhost:8080/customer/add,379,0,64
1715687192927,410,HTTP Request 142,200,,Thread Group 1-142,text,true,,315,324,635,635,http://localhost:8080/customer/add,410,0,94
1715687192925,412,HTTP Request 130,200,,Thread Group 1-130,text,true,,315,324,635,635,http://localhost:8080/customer/add,412,0,95
1715687192934,403,HTTP Request 233,200,,Thread Group 1-232,text,true,,315,324,635,635,http://localhost:8080/customer/add,403,0,87
1715687192924,414,HTTP Request 18,200,,Thread Group 1-18,text,true,,311,320,638,638,http://localhost:8080/customer/add,406,0,96
1715687192924,414,HTTP Request 69,200,,Thread Group 1-71,text,true,,311,320,638,638,http://localhost:8080/customer/add,414,0,96
1715687192924,418,HTTP Request 42,200,,Thread Group 1-42,text,true,,311,320,641,641,http://localhost:8080/customer/add,417,0,103
1715687192925,420,HTTP Request 134,200,,Thread Group 1-134,text,true,,315,324,644,644,http://localhost:8080/customer/add,420,0,97
1715687192980,365,HTTP Request 278,200,,Thread Group 1-278,text,true,,315,324,644,644,http://localhost:8080/customer/add,365,0,41
1715687192926,419,HTTP Request 28,200,,Thread Group 1-28,text,true,,311,320,645,645,http://localhost:8080/customer/add,419,0,94
1715687192924,426,HTTP Request 66,200,,Thread Group 1-66,text,true,,311,320,650,650,http://localhost:8080/customer/add,421,0,96
1715687192943,409,HTTP Request 241,200,,Thread Group 1-241,text,true,,315,324,650,650,http://localhost:8080/customer/add,409,0,78
1715687193012,340,HTTP Request 310,200,,Thread Group 1-310,text,true,,315,324,650,650,http://localhost:8080/customer/add,340,0,9
1715687192964,388,HTTP Request 263,200,,Thread Group 1-263,text,true,,315,324,650,650,http://localhost:8080/customer/add,388,0,57
1715687192925,427,HTTP Request 169,200,,Thread Group 1-168,text,true,,315,324,650,650,http://localhost:8080/customer/add,427,0,96
1715687192927,436,HTTP Request 133,200,,Thread Group 1-133,text,true,,315,324,661,661,http://localhost:8080/customer/add,436,0,94
1715687192925,438,HTTP Request 86,200,,Thread Group 1-85,text,true,,311,320,661,661,http://localhost:8080/customer/add,438,0,96
